,zone,mean,std,min,max,var,time,spectral_index
16,16,0.1914031386375427,0.16884384771391997,-0.18617019057273865,0.41445785760879517,0.028508244910841397,2021-03-06 04:56:59.024,NDWI
17,17,0.1676684726368297,0.1983392105534736,-0.2793354094028473,0.39320385456085205,0.03933844244297513,2021-03-06 04:56:59.024,NDWI
18,18,0.013343541061176974,0.17820548943196657,-0.3437175750732422,0.2700534760951996,0.03175719646368675,2021-03-06 04:56:59.024,NDWI
19,19,0.34154007651589136,0.18287456891580042,-0.07369760423898697,0.5224839448928833,0.033443107956139834,2021-03-06 04:56:59.024,NDWI
20,20,0.23787693023681641,0.15709121704516096,-0.1433408409357071,0.4182547628879547,0.02467765047272987,2021-03-06 04:56:59.024,NDWI
21,21,-0.0667639970779419,0.1831674901376341,-0.4560462534427643,0.23568575084209442,0.03355032944332028,2021-03-06 04:56:59.024,NDWI
22,22,-0.08806357213429042,0.22471892144748945,-0.4189995229244232,0.26395174860954285,0.050498593656522935,2021-03-06 04:56:59.024,NDWI
0,0,-0.0856523011968,0.31330828328389615,-0.9761403799057007,0.9976904988288879,0.09816208037430213,2021-03-11 04:57:01.024,NDWI
1,1,0.011130976676940917,0.1321770155422708,-0.4604026675224304,0.14309485256671906,0.017470763437661695,2021-03-11 04:57:01.024,NDWI
2,2,0.16037823937155984,0.09407339794608777,-0.11180772632360458,0.2808642089366913,0.008849804201122989,2021-03-11 04:57:01.024,NDWI
3,3,0.08087171827043806,0.11198689832837727,-0.2413145750761032,0.2273092418909073,0.012541065397210307,2021-03-11 04:57:01.024,NDWI
4,4,0.04632615126096285,0.09535780356377367,-0.2460317462682724,0.14568227529525757,0.009093110700507247,2021-03-11 04:57:01.024,NDWI
5,5,0.10737940160239615,0.11568578955323124,-0.17434507608413696,0.2561505436897278,0.013383201904554505,2021-03-11 04:57:01.024,NDWI
6,6,-0.05231456160545349,0.07998932028623158,-0.2785646915435791,0.03956344351172447,0.006398291359853339,2021-03-11 04:57:01.024,NDWI
7,7,-0.08889601344153994,0.1350928088325351,-0.4657478928565979,0.07330567389726639,0.018250066998263877,2021-03-11 04:57:01.024,NDWI
8,8,0.012461476027965546,0.14382219227247053,-0.3290218412876129,0.20615912973880768,0.02068482299005948,2021-03-11 04:57:01.024,NDWI
9,9,0.15447403255261874,0.10890244946208505,-0.19205300509929657,0.3232758641242981,0.01185974349884199,2021-03-11 04:57:01.024,NDWI
10,10,0.12098335425059001,0.12456759345061262,-0.15527388453483582,0.2765042781829834,0.015517085338077108,2021-03-11 04:57:01.024,NDWI
11,11,0.17085349219185966,0.10316766225459653,-0.11385703086853027,0.2964213490486145,0.010643566535078502,2021-03-11 04:57:01.024,NDWI
12,12,0.1431410312652588,0.08977547073379019,-0.07018369436264038,0.2723434269428253,0.008059635145473618,2021-03-11 04:57:01.024,NDWI
13,13,0.01791836250396002,0.1537110627827913,-0.284612238407135,0.20186695456504822,0.023627090821815213,2021-03-11 04:57:01.024,NDWI
14,14,-0.0846970388966222,0.1467011053710108,-0.4150453507900238,0.089108906686306,0.021521214317076418,2021-03-11 04:57:01.024,NDWI
15,15,0.04483141899108887,0.07254991937960854,-0.2044534683227539,0.15213945508003235,0.0052634908019877,2021-03-11 04:57:01.024,NDWI
16,16,0.031456461548805235,0.08810199979276757,-0.17475222051143646,0.14776116609573364,0.007761962367484818,2021-03-11 04:57:01.024,NDWI
17,17,0.0614336837421764,0.08143057802813565,-0.12977097928524017,0.16911764442920685,0.006630939037996289,2021-03-11 04:57:01.024,NDWI
18,18,-0.03565694654689116,0.0766010854986881,-0.17541764676570892,0.10597608238458633,0.005867726299577325,2021-03-11 04:57:01.024,NDWI
19,19,0.14211433584039862,0.10699458357020757,-0.19808447360992432,0.24755887687206268,0.01144784091336213,2021-03-11 04:57:01.024,NDWI
